"PROVINCIA","PORCENTAJEANALFABETISMO","POBLACIONTOTAL","PORCENTAJELENGUA","PORCENTAJENBI","Porcentaje Mujer","Porcentaje Hombre","Rural porcentaje","Urbano porcentaje","SIN WIFI","CON WIFI","UBIGEO","Departamento"
"LORETO",13.3185049836243,62437,5.4983423290677,37.2537056199981,0.51011419510867,0.48988580489133,0.612268687163048,0.387731312836952,0.0263004516975084,0.973699548302492,"1603","LORETO"
"LUCANAS",13.6201002947927,51328,48.979114713217,31.9964392947189,0.51693033042394,0.48306966957606,0.621959273527793,0.378040726472207,0.0193725921849202,0.98062740781508,"0506","AYACUCHO"
"LUYA",13.2330075127676,44436,1.59105229993699,21.3382790503808,0.508281573498965,0.491718426501035,0.85782457203454,0.14217542796546,0.0205271928495682,0.979472807150432,"0105","AMAZONAS"
"MANU",10.7627004700706,18549,43.9538519596744,34.2657619437539,0.542239473826082,0.457760526173918,0.49402106014635,0.50597893985365,0.0248081384972336,0.975191861502766,"1702","MADRE DE DIOS"
"MARAÑON",15.2656164155078,26622,23.5932687251146,41.6138750098988,0.505070993914807,0.494929006085193,0.700700431034483,0.299299568965517,0.00942887931034483,0.990571120689655,"1007","HUANUCO"
"MARISCAL CACERES",8.56041630549006,64626,0.817008634295794,41.939346370974,0.520518057747656,0.479481942252344,0.373220041019631,0.626779958980369,0.138353354819807,0.861646645180193,"2206","SAN MARTIN"
"MARISCAL LUZURIAGA",26.6126704852916,20284,88.5032537960954,40.911415297239,0.47919542496549,0.52080457503451,1,0,0.00570683189303767,0.994293168106962,"0213","ANCASH"
"MARISCAL NIETO",10.4793683595399,85349,22.2099848855874,23.1951280039244,0.509343987627272,0.490656012372728,0.130754808693841,0.869245191306159,0.24449690993681,0.75550309006319,"1801","MOQUEGUA"
"MARISCAL RAMON CASTILLA",8.89149208780425,49072,13.6044995109227,36.4569827200315,0.517749429409847,0.482250570590153,0.661611374407583,0.338388625592417,0.00966824644549763,0.990331753554502,"1604","LORETO"
"MAYNAS",7.26241049468263,479866,6.54057591077509,33.5127257969161,0.49678660292665,0.50321339707335,0.160792168167269,0.839207831832731,0.200194672706512,0.799805327293488,"1601","LORETO"
"MELGAR",11.762912826554,67138,74.8383925645685,21.7691870319989,0.48951413506509,0.51048586493491,0.519552087466384,0.480447912533615,0.0268923863686461,0.973107613631354,"2108","PUNO"
"MOHO",18.5563786169085,19753,91.5962132334329,27.783548353574,0.479015845694325,0.520984154305675,0.85404865044985,0.14595134955015,0.0051094079751194,0.994890592024881,"2109","PUNO"
"MORROPON",13.1800665651686,162027,0.833194467588735,22.6987116534826,0.501015262888284,0.498984737111716,0.368566353500118,0.631433646499882,0.0575042266783658,0.942495773321634,"2004","PIURA"
"MOYOBAMBA",9.2962308832494,122365,1.66224001961345,32.5514625847298,0.507530748171454,0.492469251828546,0.288343739827775,0.711656260172225,0.153167815819844,0.846832184180156,"2201","SAN MARTIN"
"NAZCA",4.86813382973691,69157,11.1499920470813,20.848894438054,0.509579652095956,0.490420347904044,0.139892427055072,0.860107572944928,0.222142891141892,0.777857108858108,"1103","ICA"
"OCROS",6.37476303407189,7039,18.2412274470806,41.2314872850117,0.522517403040205,0.477482596959795,1,0,0.0175773786778754,0.982422621322125,"0214","ANCASH"
"OTUZCO",13.0566714616881,77862,0.905448100485474,24.9091825504795,0.495440651408903,0.504559348591097,0.747807291017168,0.252192708982832,0.0207424034584528,0.979257596541547,"1306","LA LIBERTAD"
"OXAPAMPA",8.93410051290034,87470,20.6425060020578,30.8319050363201,0.509957699782783,0.490042300217217,0.501643418310085,0.498356581689915,0.0832932499599166,0.916706750040083,"1903","PASCO"
"OYON",7.0697876503798,17739,14.6231467388241,31.684098238714,0.532329894582558,0.467670105417442,0.42560923471569,0.57439076528431,0.0641299700726806,0.935870029927319,"1509","LIMA"
"PACASMAYO",5.901241431053,102897,0.435386843153833,12.219950248174,0.483687571066212,0.516312428933788,0.0570671558137165,0.942932844186284,0.226841944359523,0.773158055640477,"1307","LA LIBERTAD"
"PACHITEA",24.9264885891495,49159,51.4290363921154,32.3545564489155,0.495229764641266,0.504770235358734,0.724535050071531,0.275464949928469,0.0273247496423462,0.972675250357654,"1008","HUANUCO"
"PADRE ABAD",9.09546442444291,60107,13.2613505914453,35.9165222172096,0.520654832215882,0.479345167784118,0.340745000319468,0.659254999680532,0.0502843268800716,0.949715673119928,"2503","UCAYALI"
"PAITA",7.22819498302026,129892,0.439595972038309,33.5782206124402,0.495018938810704,0.504981061189296,0.0375795996459065,0.962420400354093,0.144892772494931,0.855107227505069,"2005","PIURA"
"PALLASCA",11.6187322982466,23491,2.80532970073645,20.4217607745538,0.491847941764931,0.508152058235069,0.700675278919554,0.299324721080446,0.0149735760422783,0.985026423957722,"0215","ANCASH"
"PALPA",5.44541688234837,13232,8.28295042321644,26.3249148090865,0.504081015719468,0.495918984280532,0.507304429783223,0.492695570216777,0.0878887841658813,0.912111215834119,"1104","ICA"
"PARINACOCHAS",17.7024182963471,27659,52.6157850970751,33.7142592897532,0.519903105679887,0.480096894320113,0.459076027646417,0.540923972353583,0.0339517400266764,0.966048259973324,"0507","AYACUCHO"
"PARURO",24.2459375380704,25567,89.1813666053898,24.0394060634515,0.501388508624399,0.498611491375601,1,0,0.0103658536585366,0.989634146341463,"0810","CUSCO"
"PASCO",7.03966664957157,123015,13.9617119863431,26.1286427777451,0.502402146079746,0.497597853920254,0.185859071907612,0.814140928092388,0.132086253045021,0.867913746954979,"1901","PASCO"
"PATAZ",17.8998755369203,76103,2.13000801545274,29.4218938793728,0.533448090088433,0.466551909911567,0.765937152244184,0.234062847755816,0.0260187589422924,0.973981241057708,"1308","LA LIBERTAD"
